Province,District,Municipality
Gandaki Pradesh,Lamjung,Dordi Rural Municipality
Gandaki Pradesh,Manang,Nashong Rural Municipality
Gandaki Pradesh,Manang,Chame Rural Municipality
Gandaki Pradesh,Manang,Neshang Rural Municipality
Gandaki Pradesh,Manang,Naraphu Rural Municipality
Gandaki Pradesh,Mustang,Thasang Rural Municipality
Gandaki Pradesh,Mustang,Lomanthang Rural Municipality
Gandaki Pradesh,Mustang,Bahragaun Muktikshetra Rural Municipality
Gandaki Pradesh,Mustang,Gharpajhong Rural Municipality
Gandaki Pradesh,Mustang,Dalome Rural Municipality
Gandaki Pradesh,Myagdi,Beni Municipality
Gandaki Pradesh,Myagdi,Mangala Rural Municipality
Gandaki Pradesh,Myagdi,Malika Rural Municipality
Gandaki Pradesh,Myagdi,Dhawalagiri Rural Municipality
Gandaki Pradesh,Myagdi,Raghuganga Rural Municipality
Gandaki Pradesh,Nawalparasi East,Binayi Tribeni Rural Municipality
Gandaki Pradesh,Nawalparasi East,Madhya Bindu Municipality
Gandaki Pradesh,Nawalparasi East,Kawasoti Municipality
Gandaki Pradesh,Nawalparasi East,Devchuli Municipality
Gandaki Pradesh,Nawalparasi East,Hupsekot Rural Municipality
Gandaki Pradesh,Nawalparasi East,Bungdikali Rural Municipality
Gandaki Pradesh,Nawalparasi East,Bulingtar Rural Municipality
Gandaki Pradesh,Nawalparasi East,Gaidakot Municipality
Gandaki Pradesh,Parbat,Paiyu Rural Municipality
Gandaki Pradesh,Parbat,Bihadi Rural Municipality
Gandaki Pradesh,Parbat,Mahashila Rural Municipality
Gandaki Pradesh,Parbat,Phalebas Municipality
Gandaki Pradesh,Parbat,Kushma Municipality
Gandaki Pradesh,Parbat,Jaljala Rural Municipality
Gandaki Pradesh,Parbat,Modi Rural Municipality
Gandaki Pradesh,Syangja,Kaligandaki Rural Municipality
Gandaki Pradesh,Syangja,Galyang Municipality
Gandaki Pradesh,Syangja,Walling Municipality
Gandaki Pradesh,Syangja,Chapakot Municipality
Gandaki Pradesh,Syangja,Harinas Rural Municipality
Gandaki Pradesh,Syangja,Biruwa Rural Municipality
Gandaki Pradesh,Syangja,Bhirkot Municipaity
Gandaki Pradesh,Syangja,Arjun Choupari Rural Municipality
Gandaki Pradesh,Syangja,Aandhikhola Rural Municipality
Gandaki Pradesh,Syangja,Phedikhola Rural Municipality
Gandaki Pradesh,Syangja,Putalibazar Municipality
Gandaki Pradesh,Tanahu District,Aanbu Khaireni Rural Municipality
Gandaki Pradesh,Tanahu District,Bandipur Rural Municipality
Gandaki Pradesh,Tanahu District,Devghat Rural Municipality
Gandaki Pradesh,Tanahu District,Rhishing Rural Municipality
Gandaki Pradesh,Tanahu District,Ghiring Rural Municipality
Gandaki Pradesh,Tanahu District,Bhimad Municipality
Gandaki Pradesh,Tanahu District,Shuklagandaki Municipality
